Name,Area,Room,Start time,End time,Duration,Full Description,Type,Last updated
0,Library Break-Out Rooms,LSR 1,08:00AM - Monday 02 August 2021,12:00PM - Monday 02 August 2021,4 hours,,Internal,10:33PM - Wednesday 11 August 2021
1,Library Break-Out Rooms,LSR 4,08:00AM - Monday 02 August 2021,12:00PM - Monday 02 August 2021,4 hours,,Internal,10:33PM - Wednesday 11 August 2021
2,Library Break-Out Rooms,LSR 5,08:00AM - Monday 02 August 2021,12:00PM - Monday 02 August 2021,4 hours,,Internal,10:33PM - Wednesday 11 August 2021
3,Library Break-Out Rooms,LSR 6,11:30AM - Monday 02 August 2021,03:30PM - Monday 02 August 2021,4 hours,,Internal,10:33PM - Wednesday 11 August 2021
0,Library Break-Out Rooms,LSR 1,12:00PM - Monday 02 August 2021,02:00PM - Monday 02 August 2021,2 hours,,Internal,10:33PM - Wednesday 11 August 2021
4,Library Break-Out Rooms,LSR 2,01:00PM - Monday 02 August 2021,05:00PM - Monday 02 August 2021,4 hours,,Internal,10:33PM - Wednesday 11 August 2021
1,Library Break-Out Rooms,LSR 4,01:00PM - Monday 02 August 2021,05:00PM - Monday 02 August 2021,4 hours,,Internal,10:33PM - Wednesday 11 August 2021
2,Library Break-Out Rooms,LSR 5,01:00PM - Monday 02 August 2021,05:00PM - Monday 02 August 2021,4 hours,,Internal,10:33PM - Wednesday 11 August 2021
5,Library Break-Out Rooms,LSR 1,03:00PM - Monday 02 August 2021,07:00PM - Monday 02 August 2021,4 hours,,Internal,10:33PM - Wednesday 11 August 2021
6,Library Break-Out Rooms,LSR 3,03:00PM - Monday 02 August 2021,07:00PM - Monday 02 August 2021,4 hours,,Internal,10:33PM - Wednesday 11 August 2021
3,Library Break-Out Rooms,LSR 6,04:00PM - Monday 02 August 2021,08:00PM - Monday 02 August 2021,4 hours,,Internal,10:33PM - Wednesday 11 August 2021
2,Library Break-Out Rooms,LSR 5,08:00AM - Tuesday 03 August 2021,12:00PM - Tuesday 03 August 2021,4 hours,,Internal,10:33PM - Wednesday 11 August 2021
7,Library Break-Out Rooms,LSR 3,08:30AM - Tuesday 03 August 2021,11:30AM - Tuesday 03 August 2021,3 hours,,Internal,10:33PM - Wednesday 11 August 2021
8,Library Break-Out Rooms,LSR 4,08:30AM - Tuesday 03 August 2021,12:00PM - Tuesday 03 August 2021,3.5 hours,,Internal,10:33PM - Wednesday 11 August 2021
9,Library Break-Out Rooms,LSR 1,09:00AM - Tuesday 03 August 2021,10:30AM - Tuesday 03 August 2021,1.5 hours,,Internal,10:33PM - Wednesday 11 August 2021
10,Library Break-Out Rooms,LSR 2,09:00AM - Tuesday 03 August 2021,01:00PM - Tuesday 03 August 2021,4 hours,,Internal,10:33PM - Wednesday 11 August 2021
3,Library Break-Out Rooms,LSR 6,10:00AM - Tuesday 03 August 2021,02:00PM - Tuesday 03 August 2021,4 hours,,Internal,10:33PM - Wednesday 11 August 2021
11,Library Break-Out Rooms,LSR 1,10:30AM - Tuesday 03 August 2021,12:30PM - Tuesday 03 August 2021,2 hours,,Internal,10:33PM - Wednesday 11 August 2021
12,Library Break-Out Rooms,LSR 3,11:30AM - Tuesday 03 August 2021,01:30PM - Tuesday 03 August 2021,2 hours,,Internal,10:33PM - Wednesday 11 August 2021
13,Library Break-Out Rooms,LSR 1,01:00PM - Tuesday 03 August 2021,05:00PM - Tuesday 03 August 2021,4 hours,,Internal,10:33PM - Wednesday 11 August 2021
14,Library Break-Out Rooms,LSR 2,01:00PM - Tuesday 03 August 2021,02:30PM - Tuesday 03 August 2021,1.5 hours,,Internal,10:33PM - Wednesday 11 August 2021
7,Library Break-Out Rooms,LSR 4,01:00PM - Tuesday 03 August 2021,04:30PM - Tuesday 03 August 2021,3.5 hours,,Internal,10:33PM - Wednesday 11 August 2021
15,Library Break-Out Rooms,LSR 5,01:00PM - Tuesday 03 August 2021,02:30PM - Tuesday 03 August 2021,1.5 hours,,Internal,10:33PM - Wednesday 11 August 2021
